City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,college,64.8569,-147.8028,274.71,73,40,4.12,US,1695984294
83,tshikapa,-6.4167,20.8,309.37,31,69,2.6,CD,1695984294
84,ingeniero jacobacci,-41.3427,-69.5448,276.89,68,0,1.22,AR,1695984294
85,lorengau,-2.0226,147.2712,300.43,83,46,4.17,PG,1695984295
86,fada,9.5667,8.3,297.35,77,99,2.24,NG,1695984295
87,malango,-2.9627,119.9001,293.6,93,38,0.54,ID,1695984295
88,guatrache,-37.6678,-63.5302,277.8,90,3,4.31,AR,1695984296
89,kavaratti,10.5669,72.642,300.66,82,98,8.27,IN,1695984296
90,ormara,25.2088,64.6357,302.87,54,0,4.38,PK,1695984296
91,tamiahua,21.2667,-97.45,297.52,89,1,2.36,MX,1695984297
92,hami,42.8,93.45,296.3,13,7,1.01,CN,1695984243
93,bengkulu,-3.8004,102.2655,297.17,90,85,2.57,ID,1695984298
94,palikir - national government center,6.9248,158.1611,298.56,94,75,1.54,FM,1695984298
95,bilibino,68.0546,166.4372,272.29,99,100,1.1,RU,1695984298
96,luderitz,-26.6481,15.1594,290.54,63,31,4.8,NA,1695984298
97,sittwe,20.15,92.9,300.42,86,100,5.57,MM,1695984235
98,ramtek,21.4,79.3333,301.57,82,72,2.08,IN,1695984299
99,shahin dezh,36.6793,46.5669,301.09,16,2,1.03,IR,1695984299
100,atafu village,-8.5421,-172.5159,301.82,74,15,3.85,TK,1695984179
101,bu'aale,1.0833,42.5833,305.87,45,86,5.3,SO,1695984300
102,ribeira grande,38.5167,-28.7,296.37,88,75,9.26,PT,1695984300
103,isafjordur,66.0755,-23.124,279.17,65,75,2.57,IS,1695984301
104,santiago del torno,-17.9833,-63.3833,295.25,53,84,2.08,BO,1695984301
105,anadyr,64.75,177.4833,278.43,93,75,3.58,RU,1695984055
106,lata,40.1629,-8.3327,301.75,50,11,0.91,PT,1695984302
107,st. john's,47.5649,-52.7093,281.92,86,20,5.66,CA,1695984302
108,trairi,-3.2778,-39.2689,299.93,70,91,5.06,BR,1695984302
109,beslan,43.1922,44.5431,294.24,56,75,3.13,RU,1695984301
110,dryden,49.7833,-92.7503,288.31,94,100,4.12,CA,1695984303
111,mata-utu,-13.2816,-176.1745,299.99,76,50,6.91,WF,1695984303
112,badger,64.8,-147.5333,274.66,74,20,4.12,US,1695984304
113,ballina,-28.8667,153.5667,290.81,81,0,5.54,AU,1695984304
114,port said,31.2565,32.2841,302.14,74,20,5.14,EG,1695984221
115,katsuura,35.1333,140.3,298.23,78,98,4.98,JP,1695984305
116,ruteng,-8.6136,120.4721,289.36,89,87,0.54,ID,1695984305
117,prince rupert,54.3161,-130.3201,282.98,98,100,2.57,CA,1695984305
118,byron bay,-28.65,153.6167,290.77,83,0,5.4,AU,1695984306
119,klyuchi,52.2667,79.1667,289.57,43,64,1.51,RU,1695984306
120,brisas de zicatela,15.8369,-97.0419,299.01,85,80,2.14,MX,1695984307
121,turpan,42.9333,89.1667,301.85,16,39,1.55,CN,1695984307
122,al bawiti,28.3492,28.8659,312.19,11,1,4.5,EG,1695984307
123,tazacorte,28.629,-17.9293,299.69,77,40,3.13,ES,1695984308
124,vadso,70.0744,29.7487,283.64,87,75,6.17,NO,1695984308
125,taro,-8.3862,115.28,297.15,91,39,0.79,ID,1695984308
126,korla,41.7597,86.1469,295.74,22,97,3.01,CN,1695984309
127,lazaro cardenas,17.9583,-102.2,299.45,90,23,1.58,MX,1695984309
128,cogolin,43.2522,6.53,302.2,51,0,1.34,FR,1695984309
129,sao joao da barra,-21.6403,-41.0511,294.2,76,92,4.71,BR,1695984310
130,alofi,-19.0595,-169.9187,294.09,94,15,0.51,NU,1695984310
131,laojunmiao,39.8333,97.7333,288.77,24,93,5.8,CN,1695984310
132,pizarro,4.9533,-77.366,297.7,89,95,1.87,CO,1695984311
133,san pedro pochutla,15.7333,-96.4667,296.67,86,63,1.99,MX,1695984311
134,tralee,52.2704,-9.7026,289.29,72,40,6.17,IE,1695984311
135,hermanus,-34.4187,19.2345,292.53,65,99,7.38,ZA,1695984312
136,kwekwe,-18.9281,29.8149,304.57,26,41,3.5,ZW,1695984312
137,mena,51.5217,32.2157,297.57,29,16,1.35,UA,1695984312
138,invercargill,-46.4,168.35,279.83,82,88,6.71,NZ,1695984313
139,bereznik,62.8551,42.7072,286.82,87,100,1.47,RU,1695984313
140,khandyga,62.6667,135.6,274.02,66,36,2.89,RU,1695984313
141,petauke,-14.2426,31.3253,307.63,19,11,3.16,ZM,1695984314
142,cannonvale,-20.2833,148.7,294.81,78,3,6.74,AU,1695984314
143,howard springs,-12.497,131.047,301.1,52,96,1.84,AU,1695984314
144,kudahuvadhoo,2.6708,72.8944,301.57,73,52,5.38,MV,1695984315
145,el granada,37.5027,-122.4694,289.09,85,0,6.17,US,1695984315
146,sandnessjoen,66.0217,12.6316,286.44,90,75,6.69,NO,1695984315
147,port mathurin,-19.6833,63.4167,296.0,74,6,9.56,MU,1695984316
148,pathein,16.7833,94.7333,297.84,95,100,2.74,MM,1695984316
149,fortuna,40.5982,-124.1573,286.34,90,100,3.6,US,1695984316
150,olonkinbyen,70.9221,-8.7187,276.69,89,100,8.09,SJ,1695984317
151,tolanaro,-25.0319,46.9987,302.19,58,20,11.83,MG,1695984317
152,geiro,-6.15,36.8667,297.93,52,73,4.69,TZ,1695984317
153,taltal,-25.4,-70.4833,287.7,78,61,0.58,CL,1695984318
154,alice springs,-23.7,133.8833,296.9,19,9,3.6,AU,1695984318
155,ati,13.2154,18.3353,305.58,46,98,6.83,TD,1695984318
156,vorgashor,67.5833,63.95,276.17,57,43,3.07,RU,1695984319
157,pitimbu,-7.4706,-34.8086,297.48,73,53,4.16,BR,1695984319
158,arkhangel'sk,64.5401,40.5433,286.81,86,100,2.46,RU,1695984319
159,ciudad lazaro cardenas,17.9583,-102.2,299.45,90,23,1.58,MX,1695984320
160,port douglas,-16.4833,145.4667,296.06,74,50,7.38,AU,1695984320
161,bangassou,4.7413,22.8184,306.32,48,63,1.0,CF,1695984320
162,baturite,-4.3286,-38.8847,299.82,62,80,2.86,BR,1695984321
163,manokwari,-0.8667,134.0833,299.85,81,43,0.69,ID,1695984321
164,conceicao do araguaia,-8.2578,-49.2647,303.17,54,84,0.35,BR,1695984321
165,codrington,-38.2667,141.9667,286.62,74,5,3.35,AU,1695984322
166,mount isa,-20.7333,139.5,295.02,28,4,2.57,AU,1695984322
167,longyearbyen,78.2186,15.6401,274.06,75,75,4.63,SJ,1695984322
168,nchelenge,-9.3451,28.734,301.42,54,29,5.18,ZM,1695984323
169,bima,-8.4667,118.7167,297.91,71,86,1.52,ID,1695984323
170,durres,41.3231,19.4414,301.25,50,27,3.79,AL,1695984323
171,rongelap,11.1635,166.8941,302.05,80,94,6.86,MH,1695984324
172,stanley,54.868,-1.6985,289.7,70,75,9.26,GB,1695984324
173,kill devil hills,36.0307,-75.676,294.81,97,100,5.66,US,1695984324
174,egilsstadir,65.2653,-14.3948,279.1,87,100,5.66,IS,1695984325
175,saipan,15.1355,145.701,300.54,89,40,2.06,MP,1695984325
176,berezovyy,51.6667,135.7,282.02,91,100,0.95,RU,1695984325
177,polva,58.0603,27.0694,294.27,47,100,4.26,EE,1695984326
178,allende,25.2833,-100.0167,294.78,76,0,1.7,MX,1695984326
179,minas de marcona,-15.2119,-75.1103,285.78,90,92,4.5,PE,1695984326
180,horta,38.5333,-28.6333,295.95,91,75,9.26,PT,1695984327
181,bikenibeu village,1.3673,173.1241,301.13,78,75,1.54,KI,1695984327
182,sitka,57.0531,-135.33,282.09,81,100,2.57,US,1695984327
183,ola,59.5833,151.2833,278.51,93,30,0.2,RU,1695984328
184,fale old settlement,-9.3852,-171.2468,301.93,74,37,3.79,TK,1695984328
185,barbalha,-7.3111,-39.3042,299.04,61,0,0.0,BR,1695984328
186,cabedelo,-6.9811,-34.8339,297.52,73,84,4.56,BR,1695984329
187,kongolo,-5.3833,27.0,306.73,41,81,1.78,CD,1695984329
188,martapura,-3.4167,114.85,304.2,62,64,4.12,ID,1695984329
189,carnarvon,-24.8667,113.6333,293.6,82,4,9.43,AU,1695984330
190,launceston,-41.45,147.1667,286.93,87,75,3.09,AU,1695984330
191,kurumkan,54.3,110.3,282.4,74,69,1.82,RU,1695984330
192,hammerfest,70.6634,23.6821,284.4,76,0,1.03,NO,1695984331
193,orlando,28.5383,-81.3792,297.57,96,100,3.6,US,1695984061
194,namie,37.4833,141.0,294.1,77,49,0.45,JP,1695984331
195,dauphin,51.1494,-100.0502,282.23,76,0,3.6,CA,1695984332
196,khovd,48.0056,91.6419,279.67,56,37,0.95,MN,1695984332
197,faya-largeau,17.9257,19.1043,310.99,22,99,3.59,TD,1695984333
198,wailua homesteads,22.0669,-159.378,298.01,84,100,6.69,US,1695984333
199,tobruk,32.0836,23.9764,300.12,54,0,3.73,LY,1695984333
200,saravia,10.8775,122.9677,300.12,85,80,2.91,PH,1695984334
201,bol'shoye boldino,55.0059,45.3142,292.36,49,58,5.62,RU,1695984334
202,kapa'a,22.0752,-159.319,298.76,84,100,6.69,US,1695984334
203,zyryanovsk,49.7386,84.2719,286.51,52,100,1.01,KZ,1695984335
204,adrar,20.5022,-10.0711,311.32,11,36,8.6,MR,1695984335
205,shubarshi,48.5872,57.1869,291.71,35,100,3.38,KZ,1695984335
206,venta de banos,41.9371,-4.4645,297.75,55,7,0.89,ES,1695984336
207,newman,37.3138,-121.0208,289.28,81,2,0.45,US,1695984336
208,chernyshevskiy,63.0128,112.4714,277.1,95,100,1.4,RU,1695984336
209,eyl,7.9803,49.8164,304.72,57,49,9.16,SO,1695984337
210,karratha,-20.7377,116.8463,300.81,59,36,5.19,AU,1695984337
211,shimokizukuri,40.8061,140.3861,289.23,82,3,2.26,JP,1695984338
212,suntar,62.1444,117.6319,278.3,90,100,2.43,RU,1695984338
213,nanpiao,41.0982,120.7479,292.23,21,16,2.97,CN,1695984338
214,mega,4.05,38.3,299.02,34,5,6.51,ET,1695984339
215,northam,51.0333,-4.2167,290.18,81,12,6.95,GB,1695984339
216,ayacucho,-13.1583,-74.2239,285.07,66,75,0.51,PE,1695984120
217,yorkton,51.2167,-102.4677,279.06,87,20,2.57,CA,1695984339
218,west island,-12.1568,96.8225,300.14,74,75,7.72,CC,1695984340
219,calama,-22.4667,-68.9333,281.42,21,0,7.72,CL,1695984340
220,la barca,20.2833,-102.5667,289.45,87,89,0.91,MX,1695984341
221,manacapuru,-3.2997,-60.6206,301.24,66,97,2.38,BR,1695984341
222,ntoum,0.3833,9.7833,300.02,65,100,1.8,GA,1695984341
223,novodvinsk,64.4165,40.8122,286.53,87,100,2.48,RU,1695984341
224,cururupu,-1.8283,-44.8683,301.86,66,98,3.45,BR,1695984342
225,zouerate,22.7187,-12.4521,306.63,24,85,5.8,MR,1695984342
226,powell river,49.8496,-124.5361,283.15,83,1,1.58,CA,1695984342
227,zhosaly,45.4878,64.0781,293.93,30,24,1.73,KZ,1695984343
228,ewo,-0.8725,14.8206,305.38,53,41,0.58,CG,1695984343
229,jose de freitas,-4.7564,-42.5756,297.68,55,7,2.18,BR,1695984343
230,muisne,0.6,-80.0333,297.32,87,100,3.21,EC,1695984344
231,cadale,2.7603,46.3222,301.1,75,36,8.18,SO,1695984344
232,aitape,-3.1374,142.3475,299.32,89,99,2.74,PG,1695984344
233,east london,-33.0153,27.9116,299.67,57,0,4.12,ZA,1695984277
234,bogorodskoye,56.55,37.8833,294.68,54,84,3.25,RU,1695984345
235,chifeng,42.2683,118.9636,288.18,42,1,7.25,CN,1695984346
236,iwanai,42.9744,140.5089,288.47,68,6,2.78,JP,1695984346
237,langsa,4.4683,97.9683,298.34,91,100,0.69,ID,1695984346
238,callao,-12.0667,-77.15,291.33,88,100,1.54,PE,1695984347
239,novokayakent,42.3937,47.9861,295.78,58,23,5.67,RU,1695984347
240,kununurra,-15.7667,128.7333,300.14,39,88,0.0,AU,1695984347
241,coquimbo,-29.9533,-71.3436,282.0,93,0,2.06,CL,1695984348
242,san juan opico,13.8761,-89.3597,293.65,98,100,0.53,SV,1695984348
243,juneau,58.3019,-134.4197,281.6,97,75,0.0,US,1695984348
244,richards bay,-28.783,32.0377,303.86,39,0,3.26,ZA,1695984349
245,kataysk,56.289,62.5841,285.75,70,100,2.46,RU,1695984349
246,axim,4.8699,-2.2405,301.77,70,29,3.68,GH,1695984349
247,plettenberg bay,-34.0527,23.3716,295.93,50,24,2.95,ZA,1695984350
248,shemysheyka,52.892,45.3928,293.29,51,72,5.33,RU,1695984350
249,tchintabaraden,15.8969,5.7985,310.35,28,30,4.37,NE,1695984351
250,kailua-kona,19.6406,-155.9956,299.13,85,0,3.09,US,1695984351
251,keflavik,64.0049,-22.5624,280.39,70,0,7.72,IS,1695984351
252,escanaba,45.7453,-87.0646,282.88,100,100,1.54,US,1695984352
253,looe,50.3578,-4.4542,292.04,69,13,5.89,GB,1695984352
254,nantucket,41.2835,-70.0995,289.23,93,75,4.63,US,1695984183
255,buka,40.8108,69.1986,301.39,15,18,3.54,UZ,1695984353
256,banda aceh,5.5577,95.3222,301.93,74,81,4.75,ID,1695984353
257,north battleford,52.7834,-108.2847,275.2,93,75,0.0,CA,1695984353
258,petropavlovsk-kamchatsky,53.0452,158.6483,275.48,87,0,2.0,RU,1695984283
259,mawu,29.5923,107.3139,293.94,94,99,0.66,CN,1695984354
260,brookings,44.3114,-96.7984,291.34,87,0,6.69,US,1695984354
261,barah,13.7,30.3667,309.36,30,47,2.07,SD,1695984355
262,ilheus,-14.7889,-39.0494,298.05,88,20,3.6,BR,1695984091
263,tazovsky,67.4667,78.7,273.42,87,100,12.17,RU,1695984355
264,vail,32.0479,-110.712,298.02,39,0,0.45,US,1695984355
265,quchan,37.106,58.5095,292.62,20,0,4.31,IR,1695984356
266,tangalle,6.024,80.7911,301.24,83,95,5.26,LK,1695984356
267,anshun,26.25,105.9333,293.42,85,47,2.54,CN,1695984356
268,kone,-21.0595,164.8658,291.22,82,17,1.83,NC,1695984357
269,portland,45.5234,-122.6762,286.82,91,100,2.24,US,1695984107
270,bardsir,29.9227,56.5743,296.7,18,0,5.78,IR,1695984357
271,chonchi,-42.6128,-73.8092,275.99,97,15,1.07,CL,1695984358
272,port hedland,-20.3167,118.5667,301.18,74,26,4.63,AU,1695984358
273,vorkuta,67.5,64.0,276.31,57,45,3.14,RU,1695984345
274,castiglion fiorentino,43.3428,11.918,300.62,27,1,1.92,IT,1695984359
275,baghdad,33.3406,44.4009,313.1,12,0,5.66,IQ,1695984121
276,coos bay,43.3665,-124.2179,287.22,100,100,3.09,US,1695984359
277,chegdomyn,51.1167,133.0167,279.59,96,100,0.41,RU,1695984360
278,praya,14.9215,-23.5087,302.45,74,40,6.69,CV,1695984315
279,constantia,44.1833,28.65,297.53,65,6,8.09,RO,1695984085
280,bamboo flat,11.7,92.7167,301.2,78,100,6.17,IN,1695984360
281,pisco,-13.7,-76.2167,290.18,82,75,0.51,PE,1695984361
282,bondoukou,8.0333,-2.8,299.87,78,99,3.09,CI,1695984361
283,fort bragg,35.139,-79.006,290.97,95,100,2.06,US,1695984361
284,haiku-pauwela,20.9219,-156.3051,298.73,72,16,6.17,US,1695984362
285,karwar,14.8,74.1333,299.93,80,58,5.11,IN,1695984362
286,sirte,31.2089,16.5887,299.37,60,3,5.39,LY,1695984362
287,natal,-5.795,-35.2094,298.27,83,40,1.54,BR,1695984248
288,belmonte,-15.8631,-38.8828,297.88,86,82,1.72,BR,1695984363
289,cuorgne,45.3895,7.6499,299.38,63,0,2.09,IT,1695984363
290,kuvshinovo,57.0295,34.1725,293.37,50,73,3.66,RU,1695984364
291,sao miguel do araguaia,-13.275,-50.1628,301.69,61,55,1.81,BR,1695984364
292,smithers,54.7804,-127.1743,274.33,100,75,0.0,CA,1695984364
293,yazman,29.1212,71.7446,313.63,7,0,4.79,PK,1695984355
294,phan thiet,10.9333,108.1,300.94,81,87,2.11,VN,1695984365
295,daru,-9.0763,143.2092,297.94,86,56,7.19,PG,1695984365
296,wenshui,28.4506,106.5267,291.75,97,93,1.74,CN,1695984366
297,tofol,5.3248,163.0078,301.14,75,95,2.18,FM,1695984366
298,hilo,19.7297,-155.09,296.55,94,100,3.09,US,1695984366
299,illizi,26.4833,8.4667,305.04,15,63,4.22,DZ,1695984367
300,mosjoen,65.836,13.1908,286.44,82,75,2.68,NO,1695984367
301,kresttsy,58.2452,32.5165,294.17,45,93,3.62,RU,1695984367
302,mermoz boabab,14.7065,-17.4758,303.03,79,20,0.0,SN,1695984368
303,weno,7.4515,151.8468,301.12,89,75,5.14,FM,1695984368
304,carauari,-4.8828,-66.8958,297.23,92,92,0.36,BR,1695984369
305,piti village,13.4626,144.6933,301.18,87,75,1.54,GU,1695984369
306,darwin,-12.4611,130.8418,301.14,47,0,1.03,AU,1695984369
307,mount gambier,-37.8333,140.7667,285.94,70,1,2.46,AU,1695984370
308,kawambwa,-9.7915,29.0791,306.8,21,20,2.38,ZM,1695984370
309,mili,6.0815,171.735,300.26,85,100,7.58,MH,1695984370
310,zaragoza,41.6561,-0.8773,302.6,40,0,3.09,ES,1695984195
311,ta`u,-14.2336,-169.5144,300.05,79,58,3.46,AS,1695984371
312,mariental,-24.6333,17.9667,306.41,6,2,6.79,NA,1695984371
313,lebu,-37.6167,-73.65,280.54,84,3,6.37,CL,1695984372
314,dor marunt,44.45,26.9167,301.4,24,10,7.19,RO,1695984372
315,lodja,-3.4833,23.4333,299.01,72,100,0.23,CD,1695984373
316,at taj,24.2049,23.2857,315.31,8,34,4.61,LY,1695984373
317,mazamari,-11.3258,-74.5308,295.19,96,99,0.35,PE,1695984374
318,murzuq,25.9155,13.9184,307.21,16,5,3.99,LY,1695984374
319,fisterra,42.9049,-9.2629,298.57,89,55,2.48,ES,1695984374
320,sakaiminato,35.55,133.2333,297.14,73,20,4.12,JP,1695984375
321,kamiiso,41.8167,140.65,288.36,77,20,3.09,JP,1695984375
322,san andres,12.5847,-81.7006,302.16,79,20,2.06,CO,1695984375
323,amursk,50.2261,136.8994,282.41,85,76,3.97,RU,1695984376
324,aasiaat,68.7098,-52.8699,273.31,99,100,2.18,GL,1695984376
325,bac lieu,9.285,105.7244,300.67,82,100,3.7,VN,1695984376
326,viransehir,37.2353,39.7631,306.49,19,0,4.51,TR,1695984377
327,quila,24.4228,-107.22,298.89,94,9,1.26,MX,1695984377
328,zheshart,62.0731,49.5733,285.03,86,100,1.14,RU,1695984377
329,oliveira dos brejinhos,-12.3169,-42.8961,302.85,32,7,2.53,BR,1695984378
330,villamontes,-21.25,-63.5,291.44,43,6,1.96,BO,1695984378
331,taroa,8.7058,171.2275,301.89,77,100,8.0,MH,1695984378
332,sibut,5.718,19.0739,302.36,68,98,1.88,CF,1695984378
333,stornoway,58.2093,-6.3865,287.13,81,40,8.75,GB,1695984300
334,vila franca do campo,37.7167,-25.4333,296.38,99,77,6.86,PT,1695984379
335,nemuro,43.3236,145.575,288.88,86,4,2.07,JP,1695984379
336,nouadhibou,20.931,-17.0347,298.14,73,55,8.23,MR,1695984380
337,emmeloord,52.7108,5.7486,294.84,86,70,2.68,NL,1695984372
338,narasimharajapura,13.6167,75.5167,296.83,80,97,4.72,IN,1695984380
339,the pas,53.8251,-101.2541,282.16,93,75,1.03,CA,1695984381
340,tahe,52.3333,124.7333,281.09,74,100,1.73,CN,1695984381
341,flin flon,54.7682,-101.865,281.31,95,24,2.05,CA,1695984381
342,mandalgovi,45.7625,106.2708,280.78,48,6,2.41,MN,1695984382
343,la rinconada,37.4873,-5.9826,305.62,38,0,5.14,ES,1695984382
344,sao paulo de olivenca,-3.3783,-68.8725,298.43,79,82,0.61,BR,1695984382
345,hanceville,34.0607,-86.7675,292.1,86,0,1.32,US,1695984383
346,new norfolk,-42.7826,147.0587,283.87,81,100,0.76,AU,1695984383
347,hamilton,39.1834,-84.5333,290.05,96,100,1.54,US,1695984383
348,san rafael,-34.6177,-68.3301,280.9,38,77,3.67,AR,1695984384
349,hadibu,12.65,54.0333,301.58,76,42,2.13,YE,1695984384
350,kirakira,-10.4544,161.9205,299.18,88,100,6.2,SB,1695984384
351,fatezh,52.0891,35.8632,296.14,25,6,0.71,RU,1695984385
352,saint-philippe,-21.3585,55.7679,300.92,75,54,5.5,RE,1695984385
353,trincomalee,8.5711,81.2335,302.28,66,97,9.13,LK,1695984385
354,tha mai,12.6214,102.0048,300.33,80,77,2.24,TH,1695984386
355,guli,28.8833,120.0333,300.28,73,46,0.87,CN,1695984386
356,ebaye,8.7748,167.7392,302.16,79,40,6.69,MH,1695984386
357,escarcega,18.6089,-90.7454,295.69,99,92,0.08,MX,1695984387
358,khanpur,28.6453,70.6567,313.67,6,0,7.16,PK,1695984387
359,dhidhdhoo,6.8833,73.1,300.99,81,100,7.71,MV,1695984387
360,woolgoolga,-30.1106,153.2007,292.08,86,0,3.14,AU,1695984388
361,puerto deseado,-47.7503,-65.8938,279.04,78,0,7.74,AR,1695984388
362,witu,-2.3889,40.4382,300.24,57,38,6.43,KE,1695984389
363,imbituba,-28.24,-48.6703,291.96,79,94,5.29,BR,1695984389
364,namibe,-15.1961,12.1522,297.5,73,40,4.12,AO,1695984389
365,lucheng,31.2336,117.2806,298.07,78,90,4.27,CN,1695984390
366,emod,47.9333,20.8167,299.04,29,0,1.67,HU,1695984390
